RadTrack,Copyright 2012-2014 by RadiaBeam Technologies LLC - All rights reserved (C)
 p0 [eV],Q [C],mass [eV]
 200000000.0,1e-09,510998.909848
 x,xp,y,yp,s,dp
 [m],[rad],[m],[rad],[m],[rad]
-8.272970461957e-04,9.824031065922e-03,-2.684901436758e-04,1.315272938650e-03,1.572002679476e-04,-2.201541746674e-03
8.328466530931e-04,-6.373096862689e-03,-5.384842085522e-05,1.288889846911e-04,-2.031556988696e-03,8.043600069346e-04
1.802348129479e-03,-1.591431527896e-02,7.146625480059e-06,1.722116373940e-03,-1.534836562722e-03,-7.485652843532e-04
-1.022586065167e-03,1.116333191178e-02,-1.622355063492e-04,1.487623878776e-03,1.324378815456e-05,5.034121944620e-04
2.439370573232e-04,-3.510659109157e-03,-3.411689577256e-05,3.606492300637e-04,2.062533901325e-03,4.846571540451e-04
4.448349985901e-04,-4.954059758290e-03,-6.445012071512e-05,1.030151752807e-04,2.084130004233e-03,1.391797663386e-03
1.935437453388e-03,-1.779283189034e-02,8.401586030259e-04,3.371998069457e-05,1.508268236902e-03,1.235783341549e-03
-2.260951438283e-04,7.817763930573e-04,-3.737717280925e-04,4.523710973829e-04,8.510348904863e-04,1.791340416229e-03
7.598631151284e-04,-7.523805220974e-03,-5.006166619942e-05,1.878103096442e-04,8.104500610497e-04,-1.919327265384e-03
1.003186763863e-05,-1.470960046882e-03,-1.471429368184e-03,5.107153039882e-04,-1.446412206808e-03,7.621146596444e-04
-7.687231709006e-04,7.837267543468e-03,-3.331027747215e-04,1.275377910371e-03,-9.607580089927e-04,-1.357685382597e-03
6.181042354679e-04,-5.296971709479e-03,-8.442465734752e-04,2.215638997071e-03,-1.721238464924e-05,-2.120477817224e-04
4.197185951229e-04,-3.841013155247e-03,1.307283363407e-03,5.131137487590e-04,-1.816778136380e-03,-5.244386311491e-04
3.298897079531e-04,-3.682926216720e-03,-1.775973218180e-03,1.766956956270e-03,1.034303484502e-03,7.483970852412e-04
4.294977018885e-05,3.328123593245e-04,1.920646187032e-04,-8.851667035144e-04,-1.926225985803e-03,-6.661042796140e-04
1.773788752625e-03,-1.820786536683e-02,-3.163219733837e-04,4.099847776729e-04,3.779132517072e-04,5.730464294792e-04
1.221034148474e-04,-4.377310849302e-04,-1.420417979048e-03,2.166625306078e-04,-8.252621139845e-04,1.130664792371e-03
5.661535614408e-04,-6.400998377703e-03,-2.032713137434e-03,1.220192731323e-03,1.489716795040e-04,1.119024407864e-03
2.230182059164e-04,-2.980050188135e-03,5.503688094729e-04,1.659873365259e-03,-1.017022314277e-03,1.271861773062e-03
1.203152214327e-03,-1.110714390515e-02,5.775729340829e-04,9.257576725551e-04,3.415685883285e-04,-2.801189564566e-04
1.059012948816e-04,-4.806580596106e-04,-8.382567227818e-05,-1.979286616449e-04,2.498326764522e-03,3.315562460679e-05
-6.854270179119e-04,7.693038920214e-03,1.283916859051e-03,9.932762706237e-04,-1.383471952066e-03,-4.807952812618e-05
1.419104189695e-03,-1.467366758182e-02,6.898438125786e-04,3.221278209990e-03,-6.026239142577e-04,-3.999020577074e-04
-2.726743020474e-04,4.854044317829e-03,-9.569804205466e-04,2.456504797304e-03,6.629193270690e-04,-9.603076133813e-04
-1.524240829447e-03,1.601025401098e-02,-9.847129191224e-04,9.901014285017e-04,-4.274669566566e-04,-1.759177534418e-04
-2.049751497126e-03,2.115404284966e-02,4.538593201064e-04,8.976818909742e-04,-1.195832745725e-04,2.877183537860e-04
4.567655086894e-04,-6.022604040166e-03,-9.699815911643e-04,2.100491560861e-03,-1.367302814868e-04,4.306547956297e-04
8.259162146435e-04,-8.521271185359e-03,-3.225301165649e-05,1.564215708821e-03,1.388655218542e-03,-5.318107519809e-04
-2.946964280233e-04,3.263494626574e-03,2.268763786629e-04,-4.433216283728e-04,-1.854772506584e-03,6.462991425917e-04
-3.282595888798e-04,3.967223264231e-03,-1.529875166210e-04,1.483330714463e-03,-1.686606181230e-03,1.770518646260e-03
1.065840762911e-03,-1.004282154686e-02,-5.624056529191e-04,2.129463291055e-03,-6.761430033842e-04,-1.258013890945e-04
1.580531115554e-03,-1.422162499887e-02,9.919681998834e-04,1.675646171294e-03,-6.435228442075e-04,1.424272422848e-06
-1.389600705956e-03,1.516789996494e-02,1.926757633423e-04,1.604877711503e-03,1.094995128055e-03,1.559385043046e-03
-1.011839453580e-03,1.018740397604e-02,-1.090253374578e-03,4.399940613695e-04,8.188655345075e-05,6.269694154788e-04
-6.526064246170e-05,1.686783000317e-03,-2.495824151170e-05,-1.045384191825e-04,1.959259400234e-03,-1.513820588865e-03
7.057010043320e-04,-7.186336076741e-03,1.127159325966e-04,2.649246812318e-04,-8.946587695830e-05,-1.285975825277e-03
-1.035997835380e-03,1.253242333564e-02,-2.445197135336e-04,1.301751808455e-03,1.526191791617e-03,1.615273449851e-04
7.372043712832e-04,-7.337944781606e-03,-1.359547141844e-04,-6.764783702409e-05,-5.172915378408e-04,3.609980243717e-05
-2.227944473708e-04,2.130935888333e-03,4.029122438486e-04,2.161721894157e-04,-1.142281195764e-03,4.693334483470e-04
-6.309147845157e-04,7.557002429962e-03,-1.083380774391e-03,-5.169941516298e-04,1.545059340955e-03,-7.775633991499e-04
